iter	Passed	Remaining
416	2713	3793
417	2719	3786
418	2725	3779
419	2731	3772
420	2737	3765
421	2743	3758
422	2750	3751
423	2755	3743
424	2762	3736
425	2768	3729
426	2774	3722
427	2780	3716
428	2786	3708
429	2792	3701
430	2798	3694
431	2804	3687
432	2810	3680
433	2816	3673
434	2822	3666
435	2828	3659
436	2834	3651
437	2840	3644
438	2846	3638
439	2853	3631
440	2859	3624
441	2865	3617
442	2871	3610
443	2877	3603
444	2883	3596
445	2890	3590
446	2895	3582
447	2901	3575
448	2907	3568
449	2913	3561
450	2919	3554
451	2925	3547
452	2931	3539
453	2937	3532
454	2943	3526
455	2949	3519
456	2955	3511
457	2961	3504
458	2967	3497
459	2973	3490
460	2979	3483
461	2984	3475
462	2991	3469
463	2997	3462
464	3003	3455
465	3009	3448
466	3015	3441
467	3021	3435
468	3028	3428
469	3034	3421
470	3040	3414
471	3046	3407
472	3052	3401
473	3058	3394
474	3064	3386
475	3070	3380
476	3077	3373
477	3082	3366
478	3088	3359
479	3095	3352
480	3101	3346
481	3107	3339
482	3113	3332
483	3119	3325
484	3125	3318
485	3131	3311
486	3136	3304
487	3142	3297
488	3148	3290
489	3154	3283
490	3160	3276
491	3166	3269
492	3172	3262
493	3179	3256
494	3184	3249
495	3190	3242
496	3196	3235
497	3202	3228
498	3208	3221
499	3215	3215
500	3221	3208
501	3227	3202
502	3233	3195
503	3239	3188
504	3245	3181
505	3252	3175
506	3258	3168
507	3264	3161
508	3270	3154
509	3276	3147
510	3282	3141
511	3288	3134
512	3294	3127
513	3300	3120
514	3306	3114
515	3312	3107
516	3318	3100
517	3324	3093
518	3330	3086
519	3336	3079
520	3342	3072
521	3348	3066
522	3353	3058
523	3359	3052
524	3365	3045
525	3372	3038
526	3378	3032
527	3383	3024
528	3389	3018
529	3396	3012
530	3402	3005
531	3408	2998
532	3414	2991
533	3421	2985
534	3427	2979
535	3433	2972
536	3439	2965
537	3444	2958
538	3450	2951
539	3456	2944
540	3462	2937
541	3468	2931
542	3474	2924
543	3480	2917
544	3486	2910
545	3492	2903
546	3498	2897
547	3504	2890
548	3510	2883
549	3516	2876
550	3522	2870
551	3527	2863
552	3533	2856
553	3539	2849
554	3545	2842
555	3551	2836
556	3558	2830
557	3564	2823
558	3570	2816
559	3576	2809
560	3582	2803
561	3588	2796
562	3594	2789
563	3600	2783
564	3606	2776
565	3612	2770
566	3618	2763
567	3624	2756
568	3630	2750
569	3637	2743
570	3643	2737
571	3649	2730
572	3655	2723
573	3661	2717
574	3667	2710
575	3673	2704
576	3680	2697
577	3685	2691
578	3692	2684
579	3697	2677
580	3703	2670
581	3709	2664
582	3715	2657
583	3721	2650
584	3727	2644
585	3732	2637
586	3739	2630
587	3745	2624
588	3751	2617
589	3757	2611
590	3763	2604
591	3769	2597
592	3775	2591
593	3781	2584
594	3787	2578
595	3794	2571
596	3800	2565
597	3806	2558
598	3812	2552
599	3818	2545
600	3824	2539
601	3830	2532
602	3836	2526
603	3842	2519
604	3848	2512
605	3854	2505
606	3860	2499
607	3866	2492
608	3872	2486
609	3878	2479
610	3884	2472
611	3889	2466
612	3895	2459
613	3902	2453
614	3908	2446
615	3913	2439
616	3920	2433
617	3926	2427
618	3932	2420
619	3938	2413
620	3944	2407
621	3950	2400
622	3956	2394
623	3962	2387
624	3967	2380
625	3973	2374
626	3980	2367
627	3985	2361
628	3992	2354
629	3998	2348
630	4003	2341
631	4009	2334
632	4015	2328
633	4021	2321
634	4027	2315
635	4034	2308
636	4039	2302
637	4045	2295
638	4051	2289
639	4057	2282
640	4063	2276
641	4070	2269
642	4076	2263
643	4082	2256
644	4088	2250
645	4094	2243
646	4100	2237
647	4106	2230
648	4112	2224
649	4118	2217
650	4124	2211
651	4130	2204
652	4136	2198
653	4142	2191
654	4149	2185
655	4155	2179
656	4161	2172
657	4167	2165
658	4173	2159
659	4179	2153
660	4186	2146
661	4191	2140
662	4197	2133
663	4204	2127
664	4210	2120
665	4216	2114
666	4222	2107
667	4228	2101
668	4234	2094
669	4240	2088
670	4246	2082
671	4252	2075
672	4258	2069
673	4264	2062
674	4269	2055
675	4276	2049
676	4282	2043
677	4288	2036
678	4294	2030
679	4300	2023
680	4306	2017
681	4312	2010
682	4319	2004
683	4324	1997
684	4330	1991
685	4336	1985
686	4343	1978
687	4349	1972
688	4355	1966
689	4361	1959
690	4367	1953
691	4373	1946
692	4379	1940
693	4385	1933
694	4391	1927
695	4397	1920
696	4403	1914
697	4409	1907
698	4415	1901
699	4421	1894
700	4427	1888
701	4433	1882
702	4439	1875
703	4445	1869
704	4451	1862
705	4457	1856
706	4463	1849
707	4470	1843
708	4476	1837
709	4482	1830
710	4487	1824
711	4493	1817
712	4499	1811
713	4505	1804
714	4512	1798
715	4517	1791
716	4523	1785
717	4530	1779
718	4536	1772
719	4541	1766
720	4547	1759
721	4553	1753
722	4559	1746
723	4565	1740
724	4572	1734
725	4578	1727
