MLA,EWAQ_Capital,XX_MLA,01_CURR_ACC,EWAQ_GrossLoans,02_TIME_DEPOSIT,XX_TOTAL_LIQUID_ASSET,EWAQ_NPL,03_SAVINGS,XX_BAL_IN_OTHER_BANKS,EWAQ_NPLsNetOfProvisions,XX_BOT_BALANCE,LR,INF,10_FOREIGN_DEPOSITS_AND_BORROWINGS,EWAQ_NPLsNetOfProvisions2CoreCapital,F125_LIAB_TOTAL,F077_ASSETS_TOTAL,19_BANKS_ABROAD,DR
40.89224478,75889531618.0,38.04294881,192000000000.0,495000000000.0,152000000000.0,267000000000.0,8907742970.0,58971990032.0,52415406272.0,-2903338677.0,72890383908.0,16.0925554,5.768926998,276000000000.0,-0.038343388,730000000000.0,814000000000.0,52415406272.0,8.592694241
33.86594834,27284502290.0,37.24428556,9344938938.0,65618736014.0,52576894970.0,53887567095.0,2692647.97,12206110666.0,888690019.2,-162347490.0,10689905132.0,15.79647369,4.531194765,0.0,-0.005940499,132000000000.0,162000000000.0,867628349.5,9.272161897
47.66970217,6438009365.0,52.17005812,6256820668.0,17840174282.0,17774058934.0,17575863459.0,14447054431.0,3173461918.0,1721786926.0,12444970674.0,7800895615.0,15.67204375,14.11042525,0.0,1.225947759,33816127733.0,45526081207.0,1702938614.0,8.607965261
32.83077662,42294008546.0,36.66876466,8594171425.0,126000000000.0,43587396651.0,64578805181.0,1103079289.0,7191460169.0,44432385171.0,847004463.7,15958899711.0,16.59256256,4.01722845,94400850361.0,0.0200524,176000000000.0,220000000000.0,5930642971.0,7.79787019
133.9257096,19778885850.0,133.3198583,15425130489.0,169000000000.0,75073589848.0,277000000000.0,68425111385.0,2967761262.0,1692267303.0,64572822494.0,25157728216.0,15.97013027,12.23987206,67602798892.0,3.250688468,320000000000.0,343000000000.0,1692267303.0,8.602215189
28.02885822,34619925528.0,23.54375197,0.0,260000000000.0,120000000000.0,76539068264.0,12356835934.0,173000000000.0,8588877838.0,7904579834.0,1161257360.0,16.21269754,6.715107289,8219987298.0,0.228115591,334000000000.0,375000000000.0,619067635.3,9.211054551
975.0564169,17425341410.0,283.9058345,7127214252.0,232571081.4,169800000.0,21300599310.0,-9.64e-10,129853526.9,2284878045.0,0.001733012,2870482648.0,16.12612784,6.156779736,0.0,1.2e-13,3960174044.0,22163654094.0,0.0,9.135990287
22.36796343,74798042446.0,20.833993,0.0,446000000000.0,151000000000.0,102000000000.0,54527550973.0,214000000000.0,18857577085.0,33620247304.0,3636352372.0,17.32174664,3.356307444,18387394923.0,0.445754664,486000000000.0,576000000000.0,5466558349.0,7.850261815
26.85353156,35461933045.0,25.59614738,5182341077.0,73087893169.0,54534684385.0,34054595537.0,2507177138.0,9533686562.0,1095251441.0,2280300724.0,14050946677.0,16.58942089,3.216266935,0.0,0.064350141,126000000000.0,163000000000.0,849388889.8,8.804785214
28.37309705,15833810010.0,34.49337959,1237575282.0,35836657914.0,4506464051.0,6226832675.0,6556688761.0,4027652986.0,1740771788.0,6153730743.0,3423277558.0,17.074664,3.127034871,0.0,0.388671088,19700427862.0,38038993301.0,0.0,7.471197841
30.75909193,52581914151.0,29.70583277,121000000000.0,355000000000.0,94376574692.0,153000000000.0,26971229994.0,32721885375.0,57510943633.0,27071187372.0,62189530543.0,16.12846976,6.486037782,196000000000.0,0.514862819,492000000000.0,551000000000.0,57510943633.0,8.18158153
75.32254773,12612784570.0,77.86629809,45441342109.0,42513950361.0,9603519279.0,73727110710.0,560633955.8,18439474346.0,6288819017.0,-16423635.2,16069746858.0,14.5741679,7.4342104,2930184522.0,-0.001230387,135000000000.0,152000000000.0,6084782776.0,5.908311667
24.23823933,63079123682.0,23.13855616,30486797237.0,383000000000.0,116000000000.0,96996509210.0,44999999120.0,24340159961.0,6336953819.0,31911521100.0,28989458504.0,16.69518381,3.533361915,194000000000.0,0.507294744,467000000000.0,561000000000.0,5699895851.0,8.646509009
29.17730436,57178050811.0,25.95871863,49843425638.0,290000000000.0,95252163187.0,148000000000.0,27439277711.0,38294440416.0,7321647881.0,24795552181.0,26981104265.0,17.76788306,5.397384842,105000000000.0,0.433388057,411000000000.0,484000000000.0,7321647881.0,10.38814413
40.54105499,27415996771.0,39.51093511,61669688114.0,202000000000.0,68552953011.0,113000000000.0,7366663351.0,15002226900.0,4740484725.0,5734391412.0,28787869044.0,15.75978454,9.673692267,93633727656.0,0.209662298,332000000000.0,362000000000.0,4740484725.0,9.041182663
43.6440967,221000000000.0,44.85826917,652000000000.0,817000000000.0,124000000000.0,710000000000.0,69047545374.0,327000000000.0,29643820979.0,58467388473.0,245000000000.0,17.20310941,6.228951144,220000000000.0,0.264890225,1450000000000.0,1730000000000.0,29643820979.0,10.12216393
44.92008169,31722739903.0,45.3440814,10317649669.0,82939322868.0,31750280293.0,66242490360.0,4855017484.0,6665957088.0,42520139565.0,3063404578.0,16470913353.0,17.95376437,5.358080672,69604274769.0,0.096498488,140000000000.0,178000000000.0,10184772545.0,10.21957828
29.76253939,42915235476.0,28.62935144,55699757085.0,301000000000.0,122000000000.0,116000000000.0,54179289374.0,13564175439.0,21672739841.0,49246075679.0,29556609334.0,16.6685056,3.408661601,164000000000.0,1.14898114,425000000000.0,475000000000.0,8879691691.0,8.583516771
